explainer,mean,std,count
GuidedGradCam,0.8649246087670326,0.15567708133119243,100
SoftPullback,0.7623544198274612,0.11584403252680417,100
PullbackAscent,0.7314008784294128,0.12443359434730356,100
SmoothPullback,0.7277765445411205,0.1424668690240065,100
FusionPullback,0.7061284001171589,0.14294369968819962,100
SmoothGrad,0.6413431967794895,0.12035066802647162,100
Gradient,0.6351735135912895,0.14085126473791457,100
FusionGrad,0.6326886121928692,0.12159919692633167,100
IntegratedGradients,0.632112766802311,0.16651812715990413,100
DeepLift,0.6276978950202465,0.1748615441735368,100
GradientShap,0.6225953154265881,0.16493910822848726,100
GradientAscent,0.5884794905781746,0.10558544371435805,100
