,infidelity,faithfulness_correlation,monotonicity_correlation,faithfulness_estimate,max_sensitivity,random_logit
SoftPullback,5.514±5.444,0.022±0.105,-0.054±0.532,0.379±0.266,1.227±0.182,0.004±0.386
DoublePullback,2.407±2.54,0.033±0.103,0.142±0.498,0.5±0.3,1.159±0.101,0.08±0.087
PullbackAscent,6.722±6.828,0.042±0.104,0.117±0.431,0.496±0.347,0.972±0.094,0.133±0.114
PullbackAscentNoClip,1.126±0.86,0.041±0.106,0.151±0.437,0.532±0.329,0.968±0.094,0.125±0.116
Gradient,11.068±8.486,0.051±0.108,0.049±0.511,0.544±0.214,1.283±0.725,-0.002±0.203
GradientShap,12.647±8.417,-0.033±0.104,0.083±0.512,-0.352±0.267,2.562±1.162,0.001±0.205
IntegratedGradients,13.189±8.673,-0.03±0.106,0.071±0.511,-0.366±0.265,1.627±0.505,-0.006±0.21
Saliency,9.382±8.159,0.003±0.105,0.145±0.503,0.065±0.369,0.836±0.241,0.559±0.112
DeepLift,13.825±8.981,-0.043±0.109,0.004±0.522,-0.392±0.255,1.286±0.601,0.002±0.226
InputXGradient,13.501±8.861,-0.025±0.101,0.001±0.522,-0.392±0.254,1.295±0.64,0.002±0.226
Deconvolution,10.891±8.691,0.052±0.102,0.055±0.506,0.544±0.214,1.262±0.644,-0.002±0.203
