,infidelity,faithfulness_correlation,monotonicity_correlation,faithfulness_estimate,max_sensitivity,random_logit
SoftPullback,4.174±4.745,0.105±0.109,0.531±0.431,0.542±0.168,0.159±0.049,-0.083±0.389
DoublePullback,4.075±4.456,0.103±0.105,0.538±0.432,0.542±0.168,0.159±0.049,-0.08±0.389
PullbackAscent,18.379±30.021,0.074±0.105,0.468±0.443,0.556±0.169,0.407±0.109,0.161±0.175
PullbackAscentNoClip,3.718±4.07,0.073±0.106,0.538±0.442,0.566±0.15,0.376±0.107,0.173±0.182
Gradient,76.745±59.767,0.016±0.101,0.28±0.456,0.187±0.175,1.13±0.165,-0.042±0.236
GradientShap,60.514±57.291,-0.017±0.105,0.452±0.461,-0.19±0.174,1.387±0.324,-0.032±0.253
IntegratedGradients,62.614±57.337,-0.021±0.105,0.389±0.489,-0.208±0.183,0.982±0.209,-0.034±0.245
Saliency,53.051±54.253,0.007±0.097,0.33±0.504,-0.126±0.435,0.779±0.117,0.41±0.095
DeepLift,70.187±63.028,-0.013±0.102,0.304±0.509,-0.186±0.171,1.158±0.179,-0.036±0.251
InputXGradient,70.547±59.842,-0.013±0.105,0.323±0.513,-0.183±0.17,1.156±0.178,-0.036±0.25
Deconvolution,34.249±42.861,0.009±0.095,0.43±0.408,0.222±0.247,0.726±0.118,1±4.33e-05
GuidedGradCam,5.045±6.056,0.051±0.105,0.596±0.38,0.173±0.148,0.272±0.105,0.415±0.328
