,infidelity,faithfulness_correlation,monotonicity_correlation,faithfulness_estimate,max_sensitivity,sparseness,random_logit
SoftPullback,4.402±2.535,0.026±0.065,-0.07±0.426,0.393±0.187,1.2±0.085,0.596±0.023,0.005±0.261
DoublePullback,1.907±0.818,0.036±0.068,0.148±0.416,0.538±0.198,1.151±0.051,0.544±0.016,0.071±0.047
PullbackAscent,5.069±3.261,0.042±0.069,0.143±0.319,0.543±0.22,0.971±0.064,0.48±0.013,0.127±0.071
PullbackAscentNoClip,0.965±0.446,0.048±0.068,0.167±0.314,0.576±0.205,0.968±0.064,0.481±0.012,0.119±0.076
Gradient,9.819±5.226,0.048±0.066,0.062±0.398,0.563±0.143,1.16±0.304,0.555±0.028,-0.003±0.119
GradientShap,12.026±5.545,-0.039±0.065,0.098±0.403,-0.352±0.194,2.275±0.511,0.597±0.029,4.18e-04±0.116
IntegratedGradients,11.87±5.235,-0.031±0.066,0.096±0.4,-0.371±0.194,1.557±0.271,0.599±0.028,-0.005±0.12
Saliency,6.843±3.977,-0.003±0.07,0.17±0.388,0.071±0.269,0.798±0.074,0.542±0.036,0.554±0.065
DeepLift,12.406±5.789,-0.027±0.069,0.008±0.404,-0.397±0.183,1.193±0.288,0.622±0.031,-5.15e-05±0.135
InputXGradient,12.377±5.307,-0.036±0.072,0.016±0.389,-0.398±0.182,1.194±0.292,0.622±0.031,-4.69e-05±0.135
Deconvolution,9.641±4.894,0.048±0.066,0.072±0.405,0.563±0.143,1.163±0.31,0.555±0.028,-0.003±0.119
