,infidelity,faithfulness_correlation,monotonicity_correlation,faithfulness_estimate,max_sensitivity,sparseness,random_logit
SoftPullback,4.172±4.746,0.09±0.111,0.545±0.434,0.542±0.168,0.159±0.049,0.628±0.054,-0.083±0.389
DoublePullback,4.074±4.447,0.101±0.113,0.544±0.425,0.542±0.168,0.159±0.05,0.63±0.054,-0.08±0.389
PullbackAscent,20.435±40.044,0.071±0.103,0.474±0.442,0.556±0.169,0.407±0.109,0.647±0.047,0.161±0.175
PullbackAscentNoClip,3.714±4.024,0.082±0.097,0.529±0.442,0.566±0.15,0.377±0.107,0.673±0.047,0.173±0.182
Gradient,75.362±61.656,0.017±0.102,0.293±0.458,0.187±0.175,1.131±0.165,0.548±0.036,-0.042±0.236
GradientShap,59.855±54.385,-0.014±0.102,0.439±0.461,-0.189±0.173,1.405±0.331,0.612±0.049,-0.032±0.252
IntegratedGradients,61.478±56.33,-0.019±0.1,0.414±0.471,-0.208±0.183,0.983±0.209,0.612±0.049,-0.034±0.245
Saliency,48.212±52.631,0.008±0.101,0.332±0.498,-0.126±0.435,0.781±0.12,0.48±0.042,0.41±0.095
DeepLift,71.053±63.219,-0.006±0.1,0.314±0.512,-0.186±0.171,1.157±0.181,0.62±0.049,-0.036±0.251
InputXGradient,69.886±58.583,-0.012±0.097,0.332±0.508,-0.183±0.17,1.156±0.178,0.62±0.049,-0.036±0.25
Deconvolution,36.867±42.705,0.019±0.104,0.457±0.399,0.222±0.247,0.726±0.118,0.542±0.008,1±4.33e-05
GuidedGradCam,4.926±5.865,0.048±0.104,0.594±0.376,0.173±0.148,0.272±0.107,0.812±0.067,0.415±0.328
