,Infidelity,Faith.Corr,Faith.Est,Mono.Corr,Max.Sens,Rand.Logit
SoftPullback,6.264±6.4,0.119±0.34,0.16±0.41,0.164±0.43,1.066±0.18,-0.006±0.35
PullbackAscent,1.634±1.03,0.122±0.36,0.201±0.41,0.219±0.33,0.855±0.12,0.121±0.11
SmoothPullback,4.974±5.46,0.102±0.39,0.146±0.49,0.231±0.38,0.519±0.09,0.008±0.23
FusionPullback,5.156±5.72,0.093±0.39,0.114±0.49,0.2±0.38,0.753±0.11,0.007±0.19
Gradient,8.914±7.89,0.105±0.33,0.117±0.41,0.185±0.43,1.034±0.16,-0.03±0.3
GradientAscent,4.506±4.07,0.118±0.33,0.06±0.42,0.164±0.35,1.242±0.07,0.006±0.06
SmoothGrad,8.798±7.08,0.096±0.38,0.171±0.48,0.28±0.38,0.569±0.1,-0.012±0.13
FusionGrad,6.673±5.6,0.101±0.39,0.144±0.48,0.262±0.38,0.979±0.16,5.73e-04±0.11
GradientShap,12.433±8.45,0.067±0.32,0.177±0.39,0.169±0.45,2.471±1.56,0.003±0.34
IntegratedGradients,12.578±8.39,0.068±0.32,0.157±0.4,0.17±0.45,1.374±0.37,0.008±0.33
DeepLift,13.132±8.83,0.085±0.31,0.184±0.38,0.186±0.45,1.047±0.15,-0.029±0.32
