model_name,parameter,value,default_value,explainer,infidelity_mean,infidelity_std,infidelity_count,faithfulness_correlation_mean,faithfulness_correlation_std,faithfulness_correlation_count,faithfulness_estimate_mean,faithfulness_estimate_std,faithfulness_estimate_count,random_logit_mean,random_logit_std,random_logit_count
resnet50,K,3.0,5.0,PullbackAscent,4.537208591464743,,1,0.45924690895713866,,1,0.4361115582520142,,1,0.12073383160168305,,1
resnet50,K,10.0,5.0,PullbackAscent,4.793229490497696,,1,0.4240587799297646,,1,0.3776373439654708,,1,0.15163018857943825,,1
resnet50,alpha,10.0,20.0,PullbackAscent,4.507130897346787,,1,0.464630096713081,,1,0.4103304624755401,,1,0.1888202623694997,,1
resnet50,alpha,40.0,20.0,PullbackAscent,4.819385533754987,,1,0.4183582298923284,,1,0.390743800974451,,1,0.10257380357943476,,1
resnet50,tau_maxpool,0.01,0.3,PullbackAscent,4.470443465918429,,1,0.42430938326753675,,1,0.3373514726944268,,1,0.10632137945394789,,1
resnet50,tau_maxpool,0.01,0.3,SoftPullback,4.580221385239381,,1,0.46209250231040644,,1,0.5524606087012216,,1,-0.11038809030549601,,1
resnet50,tau_maxpool,0.5,0.3,PullbackAscent,4.623008489584754,,1,0.4518662380496971,,1,0.4300953316828236,,1,0.16300974490011869,,1
resnet50,tau_maxpool,0.5,0.3,SoftPullback,4.866898557785337,,1,0.46565835176035764,,1,0.5627711718855426,,1,-0.1319563219929114,,1
resnet50,tau_relu,0.3,0.6,PullbackAscent,7.611707141889126,,1,0.4416929804254323,,1,0.3441348535101861,,1,0.028448539326345782,,1
resnet50,tau_relu,0.3,0.6,SoftPullback,21.45544549789317,,1,0.46663114469847644,,1,0.5065064537106082,,1,-0.10034775562642607,,1
resnet50,tau_relu,1.0,0.6,PullbackAscent,4.963364459511557,,1,0.38379359452053907,,1,0.3362422775803134,,1,0.15763035379553914,,1
resnet50,tau_relu,1.0,0.6,SoftPullback,5.620369420000982,,1,0.38371691406704483,,1,0.46200227226130663,,1,-0.09990559466095875,,1
