result_set,pair,pullback_explainer,gradient_explainer,metric,metric_source,pullback_mean,gradient_mean,delta_mean,delta_std,ci95_low,ci95_high,paired_count
quantus_pvt_it_nips_20_50_pvt_v2_b1,FusionPullback - FusionGrad,FusionPullback,FusionGrad,faithfulness_correlation,quantus_pvt_fc_nips_20_50_pvt_v2_b1.pkl,0.09263777528481996,0.10141128241506987,-0.00877350713024991,0.14747953598930688,-0.017777199062265464,0.00021009355578276178,1000
quantus_pvt_it_nips_20_50_pvt_v2_b1,FusionPullback - FusionGrad,FusionPullback,FusionGrad,faithfulness_estimate,quantus_pvt_it_nips_20_50_pvt_v2_b1.pkl,0.11428116563806799,0.14390277303357715,-0.02962160739550917,0.3059468908520211,-0.04864266243107881,-0.01059830875811095,1000
quantus_pvt_it_nips_20_50_pvt_v2_b1,FusionPullback - FusionGrad,FusionPullback,FusionGrad,infidelity,quantus_pvt_it_nips_20_50_pvt_v2_b1.pkl,5.156225090073109,6.6729572122971135,-1.516732122224004,7.268310804652992,-1.970856767349359,-1.0603197876879846,1000
quantus_pvt_it_nips_20_50_pvt_v2_b1,FusionPullback - FusionGrad,FusionPullback,FusionGrad,max_sensitivity,quantus_pvt_it_nips_20_50_pvt_v2_b1.pkl,0.7534048463404178,0.9792020935416221,-0.2257972472012043,0.1723945358278663,-0.2365210462294519,-0.21507335001304748,1000
quantus_pvt_it_nips_20_50_pvt_v2_b1,FusionPullback - FusionGrad,FusionPullback,FusionGrad,monotonicity_correlation,quantus_pvt_it_nips_20_50_pvt_v2_b1.pkl,0.2003216456795484,0.2619865392965697,-0.06166489361702128,0.25164956551143497,-0.0774005780503691,-0.046202871254884946,1000
quantus_pvt_it_nips_20_50_pvt_v2_b1,FusionPullback - FusionGrad,FusionPullback,FusionGrad,random_logit,quantus_pvt_it_nips_20_50_pvt_v2_b1.pkl,0.006642739630002501,0.0005725657479252143,0.006070173882077286,0.1841860301963082,-0.005232797745003914,0.017661757450823354,1000
quantus_pvt_it_nips_20_50_pvt_v2_b1,PullbackAscent - GradientAscent,PullbackAscent,GradientAscent,faithfulness_correlation,quantus_pvt_fc_nips_20_50_pvt_v2_b1.pkl,0.12211930612678881,0.11771673037916545,0.004402575747623361,0.24884591931623937,-0.01094875728072028,0.019933256040494132,1000
quantus_pvt_it_nips_20_50_pvt_v2_b1,PullbackAscent - GradientAscent,PullbackAscent,GradientAscent,faithfulness_estimate,quantus_pvt_it_nips_20_50_pvt_v2_b1.pkl,0.2014761596219231,0.05997557947440892,0.14150058014751418,0.3606347318939876,0.11960459348793105,0.16422781767322642,1000
quantus_pvt_it_nips_20_50_pvt_v2_b1,PullbackAscent - GradientAscent,PullbackAscent,GradientAscent,infidelity,quantus_pvt_it_nips_20_50_pvt_v2_b1.pkl,1.634222768688754,4.505795076634158,-2.8715723079454034,4.005369491828094,-3.128734938502789,-2.6309561210313204,1000
quantus_pvt_it_nips_20_50_pvt_v2_b1,PullbackAscent - GradientAscent,PullbackAscent,GradientAscent,max_sensitivity,quantus_pvt_it_nips_20_50_pvt_v2_b1.pkl,0.8546420325636863,1.2420921189188958,-0.38745008635520933,0.08039094512584752,-0.392400480350852,-0.3824331957481802,1000
quantus_pvt_it_nips_20_50_pvt_v2_b1,PullbackAscent - GradientAscent,PullbackAscent,GradientAscent,monotonicity_correlation,quantus_pvt_it_nips_20_50_pvt_v2_b1.pkl,0.21856936604429006,0.1641790056448111,0.054390360399478935,0.29530792195151734,0.03653492184107686,0.07300995169344333,1000
quantus_pvt_it_nips_20_50_pvt_v2_b1,PullbackAscent - GradientAscent,PullbackAscent,GradientAscent,random_logit,quantus_pvt_it_nips_20_50_pvt_v2_b1.pkl,0.12147853094924213,0.005710384419980459,0.11576814652926166,0.11398561231570592,0.10877617823771629,0.12293555719637109,1000
quantus_pvt_it_nips_20_50_pvt_v2_b1,SmoothPullback - SmoothGrad,SmoothPullback,SmoothGrad,faithfulness_correlation,quantus_pvt_fc_nips_20_50_pvt_v2_b1.pkl,0.1017559730572975,0.0958897878032345,0.005866185254063016,0.17415978139007174,-0.005029663746149022,0.016725571342171588,1000
quantus_pvt_it_nips_20_50_pvt_v2_b1,SmoothPullback - SmoothGrad,SmoothPullback,SmoothGrad,faithfulness_estimate,quantus_pvt_it_nips_20_50_pvt_v2_b1.pkl,0.14595004901483147,0.1714877146213112,-0.025537665606479715,0.3363287912548686,-0.04611938965623655,-0.005009134304602529,1000
