,Infidelity,Faith.Corr,Faith.Est,Mono.Corr,Max.Sens,Rand.Logit
SoftPullback,5.989±5.67,0.389±0.37,0.437±0.41,0.42±0.39,0.119±0.04,-0.062±0.42
PullbackAscent,5.384±4.83,0.382±0.37,0.394±0.43,0.421±0.4,0.244±0.09,0.212±0.19
SmoothPullback,8.122±10.13,0.326±0.39,0.321±0.46,0.352±0.4,0.22±0.05,-0.065±0.4
FusionPullback,10.131±14.55,0.306±0.4,0.306±0.47,0.35±0.4,0.362±0.08,-0.051±0.39
Gradient,83.294±68.15,0.241±0.36,0.289±0.45,0.275±0.39,0.952±0.17,-0.032±0.23
GradientAscent,29.48±35.36,0.278±0.37,0.131±0.46,0.231±0.32,1.267±0.04,0.002±0.05
SmoothGrad,66.883±58.16,0.331±0.4,0.321±0.49,0.364±0.36,0.639±0.08,-0.024±0.2
FusionGrad,58.514±57.8,0.344±0.39,0.336±0.48,0.357±0.35,0.855±0.09,-0.014±0.17
GradientShap,69.072±62.93,0.233±0.38,0.409±0.44,0.344±0.41,1.4±0.41,-0.023±0.24
IntegratedGradients,66.83±61.21,0.244±0.38,0.421±0.44,0.35±0.41,0.788±0.21,-0.029±0.23
DeepLift,73.188±62.6,0.201±0.36,0.404±0.43,0.324±0.42,0.982±0.18,-0.033±0.24
GuidedGradCam,5.761±5.22,0.437±0.37,0.275±0.41,0.507±0.39,0.242±0.07,0.417±0.32
