,Infidelity,Faith.Corr,Mono.Corr,Faith.Est,Max.Sens,Rand.Logit
SoftPullback,8.605±10.836,0.028±0.099,-0.048±0.518,0.382±0.255,1.224±0.181,0.011±0.391
DoublePullback,4.311±4.19,0.031±0.104,0.132±0.499,0.505±0.292,1.163±0.103,0.081±0.088
DoublePullbackBis,3.913±3.992,0.034±0.102,0.188±0.489,0.498±0.299,1.123±0.086,0.078±0.074
PullbackAscent,6.04e+05±1.95e+06,0.044±0.107,0.111±0.423,0.502±0.343,0.973±0.094,0.135±0.117
PullbackAscentBis,4.96e+06±1.11e+07,0.035±0.103,0.106±0.418,0.387±0.352,0.942±0.093,0.144±0.081
Gradient,48.598±359.265,0.053±0.104,0.047±0.511,0.549±0.209,1.252±0.698,-0.002±0.202
GradientShap,856.61±5539.673,-0.03±0.104,0.073±0.508,-0.354±0.267,2.607±1.351,-0.003±0.207
IntegratedGradients,121.604±126.797,-0.032±0.107,0.083±0.508,-0.369±0.262,1.592±0.471,-0.005±0.206
Saliency,2.07e+07±4.08e+07,-0.009±0.104,0.15±0.507,0.059±0.371,0.837±0.272,0.56±0.113
DeepLift,69.056±247.563,-0.027±0.102,0.004±0.517,-0.392±0.252,1.285±0.684,0.002±0.221
InputXGradient,67.528±223.955,-0.031±0.1,-0.002±0.518,-0.392±0.251,1.267±0.605,0.002±0.221
Deconvolution,48.149±329.782,0.054±0.104,0.042±0.509,0.549±0.209,1.255±0.736,-0.002±0.202
