,Infidelity,Faith.Corr,Mono.Corr,Faith.Est,Max.Sens,Rand.Logit
SoftPullback,65.005±53.258,0.101±0.107,0.531±0.436,0.547±0.165,0.157±0.045,-0.075±0.386
DoublePullback,64.504±52.994,0.1±0.107,0.534±0.445,0.547±0.165,0.157±0.045,-0.072±0.386
DoublePullbackBis,64.143±52.833,0.105±0.11,0.527±0.435,0.546±0.164,0.157±0.046,-0.07±0.386
PullbackAscent,3.66e+05±4.42e+05,0.069±0.106,0.48±0.446,0.555±0.168,0.405±0.105,0.163±0.173
PullbackAscentBis,1.02e+06±2.58e+06,0.055±0.099,0.443±0.446,0.521±0.188,0.566±0.12,0.155±0.116
Gradient,597.745±896.168,0.015±0.105,0.26±0.46,0.189±0.171,1.12±0.16,-0.038±0.233
GradientShap,1725.292±3984.327,-0.015±0.103,0.403±0.473,-0.184±0.174,1.441±0.386,-0.031±0.243
IntegratedGradients,720.485±914,-0.016±0.102,0.431±0.484,-0.203±0.181,0.97±0.205,-0.034±0.236
Saliency,5.89e+07±8.28e+07,0.006±0.101,0.28±0.508,-0.145±0.435,0.774±0.113,0.412±0.096
DeepLift,429.665±675.871,-0.014±0.105,0.323±0.521,-0.185±0.173,1.144±0.168,-0.036±0.245
InputXGradient,422.57±703.328,-0.008±0.102,0.315±0.519,-0.182±0.171,1.143±0.168,-0.036±0.245
Deconvolution,6.97e+09±4.96e+09,0.005±0.098,0.43±0.402,0.232±0.245,0.72±0.114,1±4.12e-05
