,Infidelity,Faith.Corr,Mono.Corr,Faith.Est,Max.Sens,Rand.Logit
SoftPullback,54.158±76.998,0.064±0.109,0.449±0.461,0.553±0.212,0.257±0.071,-0.053±0.314
DoublePullback,42.929±60.507,0.06±0.105,0.45±0.457,0.562±0.206,0.25±0.063,-0.016±0.302
DoublePullbackBis,35.082±50.131,0.061±0.097,0.41±0.467,0.568±0.207,0.255±0.064,0.023±0.275
PullbackAscent,2.35e+05±6.66e+05,0.047±0.103,0.334±0.445,0.632±0.183,0.516±0.115,0.106±0.117
PullbackAscentBis,2.17e+06±5.08e+06,0.032±0.102,0.259±0.404,0.581±0.201,0.691±0.127,0.106±0.074
Gradient,378.156±472.738,0.017±0.099,0.264±0.473,0.158±0.161,1.008±0.127,-0.043±0.269
GradientShap,1251.2±2708.29,-0.018±0.102,0.285±0.499,-0.201±0.167,1.194±0.193,-0.034±0.253
IntegratedGradients,632.304±772.598,-0.014±0.095,0.343±0.491,-0.211±0.17,0.859±0.128,-0.039±0.259
Saliency,5.40e+07±6.21e+07,0.001±0.095,0.4±0.468,-0.007±0.401,0.66±0.075,0.411±0.106
DeepLift,317.814±375.703,-0.023±0.102,0.243±0.531,-0.199±0.16,1.03±0.133,-0.041±0.271
InputXGradient,315.387±364.11,-0.02±0.103,0.239±0.541,-0.199±0.16,1.029±0.132,-0.041±0.271
Deconvolution,6.41e+07±4.84e+07,-0.001±0.1,-7.12e-04±0.479,-0.051±0.14,0.793±0.164,0.998±9.85e-04
