,Infidelity,Faith.Corr,Faith.Est,Mono.Corr,Max.Sens,Rand.Logit
SoftPullback,16.303±31.68,0.606±0.3,0.53±0.4,0.375±0.39,0.212±0.08,-0.064±0.33
PullbackAscent,5.616±13.18,0.57±0.29,0.376±0.48,0.312±0.37,0.39±0.11,0.136±0.13
SmoothPullback,14.03±30.57,0.545±0.32,0.428±0.46,0.309±0.4,0.398±0.11,-0.048±0.32
FusionPullback,16.056±34.46,0.513±0.33,0.406±0.47,0.315±0.39,0.513±0.11,-0.035±0.29
Gradient,100.09±107.94,0.457±0.35,0.466±0.41,0.316±0.37,0.898±0.14,-0.053±0.29
GradientAscent,18.523±35.24,0.508±0.3,0.264±0.46,0.234±0.32,1.217±0.06,6.65e-04±0.07
SmoothGrad,52.044±70.8,0.513±0.34,0.508±0.41,0.385±0.36,0.781±0.11,-0.025±0.19
FusionGrad,38.651±60.23,0.506±0.34,0.521±0.39,0.363±0.34,0.955±0.13,-0.013±0.16
GradientShap,76.05±94.76,0.43±0.36,0.632±0.33,0.381±0.41,1.086±0.22,-0.042±0.26
IntegratedGradients,75.796±92.29,0.434±0.36,0.634±0.33,0.379±0.41,0.752±0.15,-0.046±0.27
DeepLift,85.658±97.55,0.356±0.37,0.577±0.35,0.358±0.42,0.929±0.15,-0.057±0.29
GuidedGradCam,4.37±4.72,0.708±0.22,0.406±0.28,0.529±0.41,0.292±0.08,0.408±0.29
